title,markdown,tag1,tag2,tag3,tag4,count_answers
"SSRS export report as JSON"," We are using SQL Server Management studio to develop a stored procedure that outputs data to JSON via "FOR JSON PATH" The issue we have is trying to use SSRS to utilize this SPROC and have ... ",json,reporting-services,NaN,NaN,0
"Firebird Database Restore Security?"," I received several Firebird database backup files in .fbk and .gdb format. I installed Firebird 2.5 (newer version didnt recognize my backup files when I tried to restore so assuming they must be old ... ",database,firebird,sysdba,NaN,0
"Access Violation in TClientDataSet.Locate() for Farsi/Persian field name with more than 16 characters"," I have a table that has a field with a completely Farsi/Persian name. The length of the field name is 25 characters. In Delphi 10.4 update 2, when I use the TClientDataSet object (ADOQuery -> ... ",delphi,unicode,tclientdataset,delphi-10.4.2,0
"Upgrade Log4net.dll from V1.0.2 to V2.0.16 + C# + Crystal Reports = error"," We have an ASP.NET MVC application that uses Crystal Report and log4net. When Log4net DLL is upgraded to latest V2.0.16, application throws error Could not load file or assembly 'log4net, Version=1.2.... ",c#,asp.net-mvc,crystal-reports,log4net,0
"SQL Comparison of Two Identical Tables for Differences"," I have a site with over 60,000 products, and I get weekly updates from the manufacturer that I need to process so I can update my site. I have php code to load the various related tables. I have two ... ",sql,mysql,mariadb,NaN,1
"Calculating RMSE or adjusted R2 after k-fold cross-validation in STATA"," I would like to build a prediction model to see if age, sex, hand grip strength, physical function can predict activities of daily living (ADL). So, my outcome is ADL a continuous variable and the ... ",stata,prediction,cross-validation,k-fold,0
"Can I use local resources for mp4 playback?"," I am trying to use flet to play a local MP4 file. When I read the reference, I found that their shown code example is using only "http" resources: sample_media = [ ft.... ",python,python-3.x,video,video-streaming,0
"Why is <marquee> deprecated and what is the best alternative?"," Longer time I'm curious about HTML tag <marquee>. You can find in MDN specification: Obsolete This feature is obsolete. Although it may still work in some browsers, its use is discouraged ... ",javascript,html,css,marquee,7
"filling an empty data frame or array with values from the the column of another data frame if some conditions are met pandas"," I need to creat an empty data frame that stores values from a column of another data frame base on some conditions being met in two columns of the same second data frame. I have a data frame ... ",python,pandas,dataframe,numpy,2
"Is the statement correct with respect to the circuit depicted in the ER diagram?"," ER diagram here An employee can work in multiple offices. Please evaluate this expression as applied to this ER diagram. It seems wrong to me. The relationship between Office and Company is one-to-... ",database,relational-database,entity-relationship,NaN,0
"Is there a way to access the children of an astro slot?"," I am trying to use an astro slot to pass children to a SolidJS component. My Solid component uses its children to generate slides. <Slider> {props.children} </Slider> The problem is ... ",astrojs,NaN,NaN,NaN,2
"Stop bookmark hover from executing code in MVC"," I am seeing really strange behavior. When I click a bookmark in Chrome, it does 2 calls to my ASP.NET Core 6 MVC project, the first call is because of the split-second-hover that your mouse naturally ... ",c#,google-chrome,asp.net-core-mvc,.net-6.0,0
"Assigning nullable DateTime with inline IfElse sets variable to 01/01/0001 12:00:00 AM"," In VB.NET the following code: Dim myBool As Boolean = False Dim myDate As Date? = If(myBool, Date.Today, Nothing) Console.WriteLine(myDate) Produces: 1/1/0001 12:00:00 AM However, if I write this out ... ",.net,vb.net,.net-4.8,NaN,3
"JsonPropertyAttribute PropertyName ignored by MongoDB"," I have a data model in a ASP.NET Core application running .NET 8, where the property names is defined with JsonProperty(PropertyName = "xxx") attributes, like this: [JsonProperty(... ",c#,json,mongodb,asp.net-core,1
"Is there a way to convert a raw TXT file to a JSON format please? [closed]"," Here an example Question n ° 465 In normal operation: a) I have to drive in the middle of the road b) I have to drive to the left of the roadway In normal operation: a) I have to drive in the middle ... ",javascript,java,json,api,0
"SSIS - move only the files names returned in SQL command"," I have a SQL statement that returns 600 PDF filenames that I need to use to move a copy of the file out of folder into a new folder (The filenames in the SQL are the exact name of the PDF files in the ... ",ssis,NaN,NaN,NaN,2
"Asyncio tasks do not execute concurrently [duplicate]"," I want to trigger a function asynchronously which gets JSON data from cli commands and then posts the data to an http endpoint. I am new to asyncio and followed some tutorials but my code is still ... ",python,asynchronous,python-asyncio,NaN,0
"How to create a delay between two user interface events updates in JavaFX?"," I've been trying to code tetris with JavaFX, and while the logic of the game works, I've been struggling with an issue. For this project, I'm modeling the blocks with Rectangle shapes; I move these ... ",java,multithreading,javafx,tetris,0
"Use chart.js version 4.4.2 in Vue3 project get error"," use import { Chart } from "chart.js/auto"; in JavaScript file then console report a error: GET http://localhost:5173/node_modules/.vite/deps/chart__js_auto.js?v=2ebd765d net::ERR_ABORTED 504 ... ",javascript,chart.js,NaN,NaN,1
"Azure PublishCodeCoverageResults@2 issue with detailed report for coverage"," I'm trying to switch PublishCodeCoverageResults from @1 to @2. Because appeared warnig in pipeline ##[warning]New V2 version of task publishing code coverage results is available to all our customers ... ",azure,azure-devops,pytest,report,1
"Apache Ignite Get Operation takes Time time"," We have a Spring Boot application in which ignite has been used as Embedded [server node] Application has caches configured various purpose as below MasterData in Cache – Data is fetched from File ... ",ignite,NaN,NaN,NaN,0
"Downgrade Dune/Opam OR workaround for dune build"," I have just installed ocaml, opam and dune on my computer and tried to run a new project using $ dune init project calculator $ cd calculator/ $ code . which creates the project and opens it in VS ... ",ocaml,opam,ocaml-dune,NaN,0
"Serialize a map containing an object into JSON using Dart"," I am using the json_serializable package in Dart to convert my objects to JSON so I can then store them in a SQLite database. I am struggling in converting one particular property on my class because ... ",json,flutter,dart,json-serializable,1
"Jetpack compose. Animation duration is incorrect on some devices"," I'm using Animatable to implement linear progress animation. Here is my code: val progress = remember(currStory) { Animatable(0f) } progress.animateTo( targetValue = 1f, ... ",android,android-jetpack-compose,jetpack-compose-animation,android-jetpack-compose-animation,1
"How to make css infinite animation slider work on mobile?"," I am creating a price ticker/slider, it works perfectly on desktop/laptop but I can't get it to work correctly on mobile without glitching. On mobile, the ticker items just appear for a few seconds ... ",javascript,html,css,css-animations,0
"Script Condition Support"," This is a bit outside of my area of expertise, but I am running a script that calls out to update certain information via the APIs available as part of a service we subscribe to. It works mostly ... ",google-apps-script,NaN,NaN,NaN,0
"React onClick Events on Stencil Generated Buttons Inside Parent Stencil Component"," I created a custom button on StencilJS and I am using on a React app. I can assign an method to the onClick attr of my custom button and it works fine. There is a problem however when I use my custom ... ",javascript,reactjs,typescript,stenciljs,0
"How can I toggle class on "checked" state change?"," I have a simple form with a couple of radio bubbles. If the "cancel" bubble is checked, I want a textarea element to appear, and if it becomes unchecked, I would like it to disappear. Right ... ",jquery,checked,NaN,NaN,0
"What to use instead DbEntityValidationException in EF Core?"," With EF I used DbEntityValidationException catch branch (along with others) catch (DbEntityValidationException exception) { // any statements here... throw; } Now using .NET Core 3.17 with EF ... ",c#,entity-framework,.net-core,entity-framework-core,2
"Ghost Error: Message: 'connect EHOSTUNREACH 2606:4700::6810:1a22:443'"," I get this error, when trying to install ghost from ghost cli. Does anyone has a solution? Message: 'connect EHOSTUNREACH 2606:4700::6810:1a22:443' ",ghost-blog,NaN,NaN,NaN,0
"if I use return function paytabs with laravel the signout in my project"," when I use function isPaymentComplete , and return the $result to get the payment information, the user session ended , how can solve this issue paytabs is payment getway , i use laravel passport in ... ",php,laravel,paytabs,NaN,1
"Must understand headers error in Spring Boot SOAP Client"," i'm new to programming and i'm trying to code a SOAP client in spring boot. I have configured a WebServiceTemplate, with interceptors for both request and response, using a keystore and truststore. ... ",java,spring-boot,soap,soap-client,0
"Is there any way to get the timeline from Nao Robot in python?"," Let's say we have a current movement set in the timeline (like a dance). Is there any way that we could get the movement attached in the timeline through Python code? ",python,nao-robot,NaN,NaN,0
"Is there a way to make Angular proxy cancel ASP.NET Core request?"," In order to reproduce the issue, please create a brand new Angular + ASP.NET Core project in Visual Studio 2022. Add the method below to the sample WeatherForecastController. The method waits 100 ... ",angular,asp.net-core,NaN,NaN,0
"How to add .env variables in vite.config.ts to use proxy server in React Typescript project?"," I am building a react typescript project using vite run time. I need to define different base urls for different stages. For that following is my current implementation. But, I am getting some ... ",reactjs,typescript,frontend,vite,0
"Authenticating Azure Signal R with a token in .net"," I want to make sure that the client requesting connection to our signal R is authorized using a token, but I keep getting the error: "SignalR Connection Error: Error: Failed to complete ... ",asp.net,azure,signalr,azure-signalr,0
"Use Xdebug for a multi-user environment on a remote server using VSCode and SSH"," I manage a multi-user development environment on a server. There is a virtual server for each user with its corresponding domain to launch their application. Users connect to said environment (remote ... ",php,linux,visual-studio-code,ssh,0
"Plugin installation failed"," What can be a problem with OpenCart because when I try to install a plugin I get: Warning: array_merge(): Argument #1 is not an array in /home/agroagro/public_html/open/admin/controller/multiseller/... ",php,opencart,NaN,NaN,1
"update collection1 with values from collection2"," First, let me apoligise for the picture. I know its not suppose to be posted like this. Bellow I have two collections. I want to update the key->value pair in collection1 with the values in ... ",php,laravel,NaN,NaN,4
"Adding a virtual column to SQLTableModel"," I use a class that inherits QSQLTableModel associated with a local database. each role match a column of the database which contains only one table "games". I display my data in qml, as a ... ",c++,qt,model,qml,0
"Error occurred while saving user data: TypeError: req.json is not a function"," Node Backend import { NextResponse } from "next/server"; import User from "../../models/post"; const POST = async (req, res) => { try { const body = req.json(); ... ",next.js,nextjs-api-router,NaN,NaN,0
"vqmod advanced search by searching twice"," I am faced with a problem where I need to search for a line of code which is too common. Say I have this code and need to convert it into an array_merge: $this['data'][] = array( 'firstname' ... ",php,vqmod,NaN,NaN,1
"How to change color of input range slider with tailwind css?"," Wish you are having a wonderful day, I'm currently trying to apply some color to a simple slider range. <Input class="range pr-6 bg-red-500" type="range" ... ",range,slider,tailwind-css,NaN,3
"How to add +1 to a value when another cell has a specific value?"," I've written a formula in Google Sheets to calculate driver points for a sim-racing league I'm in. This formula looks at the driver's finishing position and produces a base point value corresponding ... ",google-sheets,google-sheets-formula,maxifs,NaN,0
"How to handle merged cell table using pdfplumber"," I am trying to parse pdf (including tables) and convert to json. as of now, i am able to convert a table if it has atleast one row and 2 columns. but i am struggling to parse a table to json properly ... ",python,pdf,pdftotext,pdfplumber,0
"Gem works in IRB but not Rails console"," I am trying to use the Hubspot API Ruby gem located here https://github.com/HubSpot/hubspot-api-ruby#installation, but I am having issues with Ruby on Rails. For all of my other gems, I can just ... ",ruby-on-rails,ruby,rubygems,NaN,2
"I have the following array, coming from a form [duplicate]"," Array ( [0] => rubix ) Array ( [0] => limo ) Array ( [0] => icecream ) I need to convert this array into following type. How can I do that? For example like this: Array ( [0] => rubix [... ",php,arrays,NaN,NaN,1
"Unable to find any supported Python versions"," I want to deploy my portfolio on Vercel, but I'm getting this error: Running build in Washington, D.C., USA (East) – iad1 Skipping build cache, deployment was triggered without cache. Cloning ... ",python,flask,vercel,portfolio,1
"set checkmarks for form in html using python"," Let us suppose that we have following form : let us suppose that user enters his age and weight, based on some condition i would to make green checkmarks if some condition is satisfied, for ... ",html,css,flask,jinja2,0
"Shadecdn/ui Drawer component inside div"," To have the drawer open only within a specific div in my chat application built with Shadecdn/ui, how can I achieve this? I want the drawer to open within a specific div, meaning I want it to open ... ",reactjs,widget,drawer,NaN,0
"How to upload a file to nexus using ansible modules?"," Are we able to use URI module of ansible to upload a file to nexus rather than using curl --upload-file as a shell task ? ",curl,ansible,nexus,NaN,2
"AWS Opensearch Serverless"," while creating index or searching document in AWS opensearch serverless collection from node.js project, it throws error as "User don't have permission for requested resource"Error image ... ",amazon-web-services,serverless,opensearch,NaN,1
"Using Compilation at later stages in generation pipeline"," My generator needs to find all types in referenced projects which meet a specific criteria and generate a class for each of them using their method return types. Example input (in a referenced project,... ",c#,roslyn,roslyn-code-analysis,sourcegenerators,0
"How can I prevent a dropdown from being concealed by another element?"," Okay so, what I'm trying to achieve is this: I should be able to have a huge dropdown menu when I click the dropdown button. Something like this: This does work if I create a dropdown using bootstrap'... ",html,css,reactjs,twitter-bootstrap,0
"Is it possible to have a conditional pane indicator in pinescript?"," I want to make an indicator that both applies some logic to the OHLC candles on the chart but also makes a pane where there is another indicator so a 2 in 1 indicator of some sorts for people with ... ",pine-script,pine-script-v5,trading,NaN,0
"How to change color schemes of figure containing both side-by-side bar and line plots (2 different datasets)"," I'm trying to create a figure with both a side-by-side bar plot and line plot using 2 datasets. Slight difference in my question versus another post, I have the figure created but my side-by-side bar ... ",r,ggplot2,visualization,NaN,1
"How to send a message to a device with self signed certification as authentication in Azure IoT Hub through the REST API"," I'm using Golang to send messages to Azure IoT Hub and as we may or may not know, Azure does not have an SDK for Golang. I've found answers on how to do it throughout the REST API using the SAS token ... ",azure,go,azure-iot-hub,azure-rest-api,1
"Can python turtle check whether it stays on a line? [closed]"," Sorry for bad tecnical english. I am doing exercises for state exam in python turtle module. I need to count dots with integer coordinats within figures drawn by given algorythm. But some of the dots ... ",python,if-statement,turtle-graphics,NaN,0
"React Github pages link file not found unless linked in App.js"," I have a Github pages website that uses React router and has App.js as a parent route to all the subpages in index.js: const root = ReactDOM.createRoot(document.getElementById('root')); root.render( ... ",reactjs,react-router,github-pages,NaN,0
"Larvel 7 reCaptcha - Service provider not found?"," I'm trying to implement invisible recaptcha but it throws an error and I've been stuck for 2 days now... I'm using albertcht/invisible-recaptcha. What am I doing wrong? 1. I've downloaded the package: ... ",php,laravel,laravel-7,NaN,3
"How to add full page background image in NextJS"," I'm trying to add a background image to an entire welcome page in NextJS and it's just not working. Before, I was having trouble with the fact that NextJS seems to render every component inside a ... ",reactjs,next.js,NaN,NaN,4
"How do I create SSLContext in Java using privatekey.pem and cert.pem files to send an HTTPS request?"," curl --request POST --url 'https://myurl' --header 'content-type: application/x-www-form-urlencoded' --data grant_type=client_credentials --data 'client_id=performance-client' --cert cert.pem --key ... ",java,httpclient,resttemplate,keystore,0
"Knock notification service not working calling from a cron job in NextJS"," I am deveolping a web app in React, NextJS and I'm using Knock as notification system for sending in-app notifications when some event happens. In this case i want to send a notification to all users ... ",javascript,next.js,cron,notifications,0
"how to highlight a column header column if the column contains a data or fill color?"," I have an excel sheets with more than 100 columns and over 500000 rows. I would like to highlight a column header if the same column contains a data of a string (like empty or white space or null) or ... ",excel,excel-formula,NaN,NaN,0
"Why can I not see any of my points when adding them to my scene?"," I have created a program for java fx to enter points in for an array. The points are to be shown with a line drawn between the maximal points. Also if you left mouse click it adds a point and ... ",javafx,arraylist,NaN,NaN,1
"How to display data from and app on an Arduino?"," So, I wanted to create a matrix (or oled) display for my blood sugar with arduino, such as: https://customtypeone.com/?ref=lt5z8Dt0mW_tVF or https://buy.tidbyt.com/products/tidbyt?utm_source=awin&... ",arduino,NaN,NaN,NaN,0
"EF Core 8 - Unable to translate set operation after client projection has been applied"," I'm trying to do a union over 2 different tables but I started getting this error since updating to EF Core 8. The full error message is: InvalidOperationException: Unable to translate set operation ... ",c#,.net-core,entity-framework-core,NaN,0
"Handling non-constructor properties when converting Kotlin data classes from JSON"," I'm working on a project where we need to serialize/deserialize Kotlin data classes to/from JSON using the GSON library. The class I am working on looks like: data class Request(val parent_identifier: ... ",java,json,kotlin,serialization,0
"Why i'm getting "Key has already been added" in my test"," Currently i'm trying to learn to create unit tests. I have a AddressService, with some methods to get a information from DbContext. My Testclass lokks like: public class AddressServiceTest { ... ",c#,unit-testing,moq,mstest,0
"Apache Kafka Server configuration (Python)"," I'm testing Apache Kafka between 2 vps. (First vps IP: x.x.x.x and Second vps IP: y.y.y.y) Os course I've installed zookeeper and kafka server on both of them and are same producer and consumer file ... ",python,apache-kafka,backend,NaN,0
"LARAVEL 9. ERROR LARAVEL EMAIL: Unable to connect with STARTTLS: stream_socket_enable_crypto(): SSL operation failed with code 1"," Greetings to the community! I have recently developed a web page with Laravel 9.X, which works correctly in local, but when I upload it to my Host, I am having problems with sending emails. When I ... ",php,laravel,email,web,2
"Handling non-constructor properties when converting Kotlin data classes from JSON"," I'm working on a project where we need to serialize/deserialize Kotlin data classes to/from JSON using the GSON library. The class I am working on looks like: data class Request(val parent_identifier: ... ",java,json,kotlin,serialization,0
"Why i'm getting "Key has already been added" in my test"," Currently i'm trying to learn to create unit tests. I have a AddressService, with some methods to get a information from DbContext. My Testclass lokks like: public class AddressServiceTest { ... ",c#,unit-testing,moq,mstest,0
"Apache Kafka Server configuration (Python)"," I'm testing Apache Kafka between 2 vps. (First vps IP: x.x.x.x and Second vps IP: y.y.y.y) Os course I've installed zookeeper and kafka server on both of them and are same producer and consumer file ... ",python,apache-kafka,backend,NaN,0
"LARAVEL 9. ERROR LARAVEL EMAIL: Unable to connect with STARTTLS: stream_socket_enable_crypto(): SSL operation failed with code 1"," Greetings to the community! I have recently developed a web page with Laravel 9.X, which works correctly in local, but when I upload it to my Host, I am having problems with sending emails. When I ... ",php,laravel,email,web,2
"How to connect Python to Oracle using oracledb"," I'm trying to connect to Oracle using using the following Python script: import oracledb connection = oracledb.connect(user = 'user', password = 'PW', ... ",python,oracle,oracle-sqldeveloper,python-oracledb,2
"My replica database forest status shows "sync replica" for long time"," My replica database forest status shows "sync replica" for a long time but other forest bulk sync-up is completed and changed to open replica, but only one forest is showing sync replica in ... ",marklogic,marklogic-10,NaN,NaN,0
"Build 500 arrays contain both static text and variables"," I need to build some 500 - 800 arrays (or subarrays), which contains both static text and variables. Each array could have different texts and variables, even though it will be common that some text ... ",php,arrays,loops,for-loop,1
"Jest & material-ui: how to test presence of a specific icon?"," I recently migrated an app to mui v4, which I love. Also done is updating our test suite that runs with jest/enzyme. For example I now favor mount instead of shallow. One problem is that I cannot ... ",material-ui,NaN,NaN,NaN,2
"How can i fix my React Build Routes Doesn't work problem"," My app.js file like this. i have several same subpath import { Route, Routes,BrowserRouter } from "react-router-dom"; function App() { return ( <div> <BrowserRouter > ... ",reactjs,react-router,react-router-dom,router,0
"Script for reading pdfs from NSE weblinks in a loop"," I have a 1-column dataframe (python). Each row in the column contains a weblink. Each weblink leads to a pdf. For example: I have a column named 'Col1' which has three rows - each with a weblink from ... ",pdf,text,automation,finance,0
"Integrating Flutter Web with Unhosted React.js Application"," Hello Flutter community, I'm currently working on a project where I need to integrate a Flutter web application with an existing unhosted React.js application. Despite exploring various approaches, I'... ",flutter,NaN,NaN,NaN,0
"Assign categorical column based on maximum value in group where other value is non-null"," Suppose that a polars DataFrame df contains a set of columns group_cols, and then 2 other columns col1, col2. I want to add a new column to this called category which takes values either 'primary' or '... ",python-polars,NaN,NaN,NaN,2
"My Character only jumps occasionally :( how to fix it?"," How to make my character jump every time I press the Up Arrow key? So far he only jumps every 5-7 presses on the key. I can't figure it out myself. I have watched YouTube and Unity forums, but didn't ... ",c#,unity-game-engine,game-development,unityscript,0
"Python - check for specific shell prompt on a remote server"," Is there a way, using Python, to check for a specific command prompt on a remote Unix server. I need to be able to SSH to a series of remote Unix servers, check that I receive a "INPUT NAME:&... ",python,shell,ssh,prompt,0
"Disabling the minimize/maximize/close buttons in Microsoft Edge"," I am writing a program in PowerShell that launches a new Microsoft Edge browser instance with a specific URL in the command line arguments. The application needs to provide 5 features for the launched ... ",powershell,dll,autohotkey,system32,0
